                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6001,                 3.6775,                 1.5854,                0.00401,                0.77036,                0.17907,                0.11015,                 1.4764,                 3.6704,                 1.4654,             0.00054065,             0.00054065,             0.00054065
                      1,                 1.7338,                 3.1417,                 1.6545,                0.58306,                0.11535,                0.12127,                0.05174,                  1.978,                  3.763,                  2.001,             0.00098778,             0.00098778,             0.00098778
                      2,                 1.8301,                 2.9997,                 1.7331,                0.35185,                0.29212,                0.24591,                0.10404,                 2.0263,                 3.1836,                 2.0326,              0.0013249,              0.0013249,              0.0013249
                      3,                 1.8337,                 2.8681,                 1.7563,                0.35086,                0.56457,                0.32955,                 0.1459,                 1.8341,                 3.9958,                 1.8721,              0.0011719,              0.0011719,              0.0011719
                      4,                 1.8577,                 2.6572,                 1.7619,                0.36446,                0.45956,                0.30096,                0.12561,                 1.9179,                 3.2649,                 1.7857,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.8585,                 2.5316,                 1.7618,                 0.4661,                0.49589,                0.40371,                0.17309,                 1.8019,                 2.5379,                 1.7148,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.7699,                 2.3341,                 1.6905,                0.51802,                0.47231,                0.45827,                0.21481,                 1.7789,                 2.1868,                 1.6904,             0.00084184,             0.00084184,             0.00084184
                      7,                  1.655,                  2.104,                   1.59,                0.61528,                0.52133,                0.54342,                0.27103,                 1.6143,                 1.9862,                 1.5493,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.5814,                  1.934,                 1.5403,                0.68883,                0.57326,                0.63204,                0.33729,                 1.5239,                  1.714,                 1.4526,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.5191,                 1.8086,                 1.4913,                0.74809,                0.62713,                0.68619,                 0.3808,                  1.442,                 1.6499,                 1.4016,             0.00034674,             0.00034674,             0.00034674
